"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"ClosestPair", "If we use a `std::set` (or `TreeSet` in Java) to maintain Y-sorted points in the strip, what would be the impact on the time complexity?", "A. It would remain O(N log N).", "B. It would degrade to O(N log^2 N) due to log N insertions/deletions for each point.", "C. It would become O(N^2).", "D. It would be O(N).", "B"
"ClosestPair", "The Closest Pair problem has applications in which field?", "A. Financial trading.", "B. Computational geometry, pattern recognition, and computer graphics.", "C. Text processing.", "D. Network routing.", "B"
"ClosestPair", "What is the `d` in the `d`-width strip called?", "A. Delta", "B. Threshold", "C. Minimum distance found so far from recursive calls", "D. Strip width", "C"
"ClosestPair", "Consider points `P = {(0,0), (1,1), (0,1), (1,0)}`. What is the closest pair distance?", "A. `sqrt(2)`", "B. `1`", "C. `0`", "D. `2`", "B"
"ClosestPair", "If the input points are integers, should intermediate distance squares (`dx*dx + dy*dy`) be calculated using `long long` to prevent overflow?", "A. No, `int` is sufficient.", "B. Yes, especially if coordinates can be large, to prevent overflow before taking the square root.", "C. Only if the final distance is integer.", "D. Only if the number of points is large.", "B"
"ClosestPair", "What is the primary benefit of the Divide and Conquer approach over brute force for Closest Pair?", "A. Reduced memory usage.", "B. Improved clarity of code.", "C. Significant reduction in time complexity for large datasets.", "D. Simpler implementation.", "C"
"ClosestPair", "Does the initial X-sort need to be performed only once?", "A. Yes", "B. No, it needs to be done at each recursive step.", "A"
"ClosestPair", "How is the `Y` sorted list of points for each subproblem typically generated recursively?", "A. By re-sorting all points in the subproblem by Y.", "B. By splitting the parent's Y-sorted list into two Y-sorted sub-lists.", "C. By using a hash map.", "D. By generating random points.", "B"
"ClosestPair", "The process of splitting the Y-sorted list into two Y-sorted sub-lists takes `O(N)` time. True or False?", "A. True", "B. False", "A"
"ClosestPair", "If the points are in a general position (no two points share the same X or Y coordinate), does this simplify the algorithm significantly?", "A. Yes, it removes edge cases like vertical lines.", "B. No, the algorithm remains the same.", "C. Only for small datasets.", "D. Only for points on a circle.", "A"
"ClosestPair", "The Closest Pair algorithm is sensitive to floating-point precision issues. True or False?", "A. True (due to square root calculations and comparisons of distances).", "B. False", "A"
"ClosestPair", "What is the purpose of the `min(dL, dR)` step before considering the strip?", "A. To set a lower bound for distances.", "B. To establish the current smallest distance found in the 'conquer' steps, against which potential 'crossing' pairs will be compared.", "C. To check for empty sets.", "D. To sum distances.", "B"
"ClosestPair", "Can the Closest Pair problem be solved using a sweep-line algorithm (which is related to D&C but often iterative)?", "A. No.", "B. Yes, this is another common and efficient approach.", "C. Only for specific types of points.", "D. Only for small N.", "B"
"ClosestPair", "What defines the 'mid-line' for dividing the points?", "A. The average of all X-coordinates.", "B. The X-coordinate of the median point in the X-sorted list.", "C. The midpoint of the Y-coordinates.", "D. A random line.", "B"
"ClosestPair", "If all points are on a single vertical line, what is the distance between the closest pair?", "A. Infinity.", "B. The minimum difference between their Y-coordinates.", "C. 0.", "D. Depends on X-coordinates.", "B"
"ClosestPair", "The number of points to check in the strip is a constant because a square of side `d` can contain at most `k` points such that no two are closer than `d`. What is `k` approximately?", "A. 2", "B. 4", "C. 7-8 (varies slightly by proof)", "D. N/2", "C"
"ClosestPair", "What happens in the base case when there are only 2 points?", "A. Return infinity.", "B. Return 0.", "C. Calculate the Euclidean distance between them.", "D. Recursively call for one point.", "C"
"ClosestPair", "If there are 3 points (base case), how do you find the closest pair?", "A. Calculate all 3 pairwise distances and take the minimum.", "B. Return infinity.", "C. Return 0.", "D. Recursively call for 1 point.", "A"
"ClosestPair", "The Closest Pair algorithm is a prime example of which design principle?", "A. Greedy choice property.", "B. Optimal substructure.", "C. Overlapping subproblems.", "D. All of the above.", "B"
"ClosestPair", "If you need to find the `k` closest pairs, would the same Divide and Conquer algorithm be directly applicable?", "A. Yes, with minor modifications.", "B. No, a different approach is needed.", "C. Only if `k` is very small.", "D. Only if `k` is very large.", "B"
"StrassenMatrix", "What algorithmic paradigm does Strassen's Matrix Multiplication algorithm fall under?", "A. Greedy Algorithm", "B. Dynamic Programming", "C. Divide and Conquer", "D. Brute Force", "C"
"StrassenMatrix", "What is the time complexity of the naive (standard) matrix multiplication algorithm for two N x N matrices?", "A. O(N)", "B. O(N log N)", "C. O(N^2)", "D. O(N^3)", "D"
"StrassenMatrix", "What is the time complexity of Strassen's Matrix Multiplication algorithm?", "A. O(N^3)", "B. O(N^2.81) (or more precisely, O(N^log2(7)))", "C. O(N^2)", "D. O(N log N)", "B"
"StrassenMatrix", "Strassen's algorithm improves upon the naive method by reducing the number of what operation?", "A. Additions", "B. Subtractions", "C. Multiplications of sub-matrices", "D. Divisions", "C"
"StrassenMatrix", "How many multiplications of sub-matrices does the naive Divide and Conquer matrix multiplication perform for N x N matrices divided into N/2 x N/2 sub-matrices?", "A. 4", "B. 7", "C. 8", "D. 9", "C"
"StrassenMatrix", "How many multiplications of sub-matrices does Strassen's algorithm perform for N x N matrices divided into N/2 x N/2 sub-matrices?", "A. 4", "B. 7", "C. 8", "D. 9", "B"
"StrassenMatrix", "What is the recurrence relation for the time complexity of Strassen's algorithm?", "A. T(N) = 8T(N/2) + O(N^2)", "B. T(N) = 7T(N/2) + O(N^2)", "C. T(N) = 4T(N/2) + O(N)", "D. T(N) = T(N-1) + O(N^2)", "B"
"StrassenMatrix", "The `O(N^2)` term in Strassen's recurrence relation `T(N) = 7T(N/2) + O(N^2)` represents the time spent on:", "A. Recursive calls.", "B. Addition and subtraction of sub-matrices.", "C. Base cases.", "D. Initializing matrices.", "B"
"StrassenMatrix", "Strassen's algorithm is beneficial for matrices of what size?", "A. Very small matrices (e.g., 2x2, 4x4).", "B. Large matrices (typically N > 100 or so).", "C. Any size, always.", "D. Only square matrices.", "B"
"StrassenMatrix", "What is the base case for Strassen's algorithm recursion?", "A. When the matrix size is 1x1 (or a small constant size where naive multiplication is faster).", "B. When the matrix size is N/2 x N/2.", "C. When the matrix is sparse.", "D. When the matrix is an identity matrix.", "A"
"StrassenMatrix", "What is the space complexity of Strassen's algorithm?", "A. O(1)", "B. O(log N)", "C. O(N^2) (for storing sub-matrices and intermediate results).", "D. O(N^3)", "C"
"StrassenMatrix", "Why is Strassen's algorithm not always used in practice, despite its better asymptotic complexity?", "A. Higher constant factors and increased overhead for additions/subtractions.", "B. It's not stable.", "C. It's difficult to parallelize.", "D. It only works for real numbers.", "A"
"StrassenMatrix", "When the matrix dimension `N` is not a power of 2, how is Strassen's algorithm typically handled?", "A. It cannot be used.", "B. The matrix is padded with zeros to the next power of 2.", "C. The algorithm is modified to handle odd dimensions directly.", "D. It converts to a linked list.", "B"
"StrassenMatrix", "Strassen's algorithm was developed by Volker Strassen in what year?", "A. 1969", "B. 1976", "C. 1985", "D. 1999", "A"
"StrassenMatrix", "The traditional matrix multiplication requires 8 recursive calls and 4 additions to multiply two 2x2 matrices after splitting. How many recursive calls and additions/subtractions does Strassen use?", "A. 8 multiplications, 10 additions/subtractions", "B. 7 multiplications, 10 additions/subtractions", "C. 7 multiplications, 18 additions/subtractions", "D. 4 multiplications, 10 additions/subtractions", "C"
"StrassenMatrix", "Which of the following is a drawback of Strassen's algorithm for certain applications?", "A. It is less memory intensive.", "B. It can have reduced numerical stability due to accumulation of floating-point errors from more additions/subtractions.", "C. It is simpler to implement.", "D. It is faster for all matrix sizes.", "B"
"StrassenMatrix", "Strassen's algorithm's performance advantage over naive multiplication typically becomes significant for `N` values greater than a certain threshold. What is this threshold generally around?", "A. 2", "B. 16-32", "C. 1000", "D. 1,000,000", "B"
"StrassenMatrix", "If you consider two 2x2 matrices A and B, Strassen's algorithm defines 7 products (M1 to M7) from combinations of A and B's sub-blocks. True or False?", "A. True", "B. False", "A"
"StrassenMatrix", "The final result matrix C is constructed by combining these 7 products using additions and subtractions. True or False?", "A. True", "B. False", "A"
"StrassenMatrix", "What is the definition of `P1` in Strassen's algorithm (where matrices are A, B and their sub-blocks A11, A12, etc.)?", "A. `(A11 + A22) * (B11 + B22)`", "B. `(A21 + A22) * B11`", "C. `A11 * (B12 - B22)`", "D. `A12 * (B21 + B22)`", "A"
"StrassenMatrix", "What is the definition of `P2` in Strassen's algorithm?", "A. `(A11 + A22) * (B11 + B22)`", "B. `(A21 + A22) * B11`", "C. `A11 * (B12 - B22)`", "D. `(A11 + A12) * B22`", "B"
"StrassenMatrix", "What is the definition of `C11` in terms of Strassen's products `P_i`?", "A. `P1 + P4 - P5 + P7`", "B. `P1 + P2 - P3 + P6`", "C. `P1 + P4`", "D. `P1 + P3 + P5 + P7`", "A"
"StrassenMatrix", "What is the definition of `C12` in terms of Strassen's products `P_i`?", "A. `P1 + P4 - P5 + P7`", "B. `P2 + P4`", "C. `P3 + P5`", "D. `P1 + P3`", "C"
"StrassenMatrix", "What is the definition of `C21` in terms of Strassen's products `P_i`?", "A. `P1 + P4 - P5 + P7`", "B. `P2 + P4`", "C. `P3 + P5`", "D. `P6 + P7`", "D"
"StrassenMatrix", "What is the definition of `C22` in terms of Strassen's products `P_i`?", "A. `P1 - P2 + P3 + P6`", "B. `P1 + P4 - P5 + P7`", "C. `P2 + P4`", "D. `P6 + P7`", "A"
"StrassenMatrix", "The core idea of Strassen's algorithm is to reduce the number of what arithmetic operation in the recursive step?", "A. Addition", "B. Subtraction", "C. Multiplication", "D. Division", "C"
